word,pos,phonetic,chinese,definition_en,synonym1,synonym2,synonym3,easy_sentence,part3_sentence,sentence_cn_easy,sentence_cn_part3
part of,phr.,/pɑːt/ /ɒv/,……的一部分,a piece of a whole,piece of,section of,bit of,This is ______ the school plan.,Clean air is ______ a healthy city.,这是学校计划的一部分。,清洁空气是健康城市的一部分。
pass by,phr.,/pɑːs/ /baɪ/,通过；经过,to go past something,go past,pass,walk by,We ______ the old church on the way.,"Years ______, but the town stays the same.",我们路上经过老教堂。,岁月流逝，小镇依旧。
piano,n.,/piˈænəʊ/,钢琴,a big musical instrument with keys,keyboard,instrument,grand,She plays the ______ every evening.,A ______ calms a busy mind.,她每晚弹钢琴。,钢琴安抚忙碌的心。
receptionist,n.,/rɪˈsɛpʃənɪst/,接待员,a person who greets at a desk,greeter,clerk,desk staff,The ______ answered the phone politely.,A friendly ______ welcomes every visitor.,接待员礼貌地接了电话。,友好的接待员欢迎每位访客。
remember,v.,/rɪˈmɛmbə/,记得,to keep in the mind,recall,keep in mind,not forget,I ______ his name and face.,A diary helps you ______ good times.,我记得他的名字和长相。,日记帮你记住美好时光。
sale,n.,/seɪl/,销售；销售额,selling things; lower prices,selling,discount,trade,The ______ ends today at six.,A big ______ draws crowds to a shop.,促销今天六点结束。,大促销吸引人群到店。
sales assistant,n.,/seɪlz/ /əˈsɪstənt/,店员,a person who serves in a shop,shop assistant,clerk,seller,The ______ helped me find a shirt.,A good ______ knows the products well.,售货员帮我找衬衫。,好售货员熟悉商品。
sentence,n.,/ˈsɛntəns/,句子,a group of words with meaning,statement,line,phrase,Write a ______ with this new word.,A short ______ is easier to remember.,用这个新词造个句子。,短句更易记住。
show,v.,/ʃəʊ/,节目，演出,to let someone see something,display,present,reveal,Please ______ me your photo.,Data can ______ a city's real needs.,请给我看你的照片。,数据能展示城市真正的需求。
simple,adj.,/ˈsɪmpəl/,简单的,easy; not complex,easy,plain,basic,The rule is very ______ to follow.,A ______ life can be a happy one.,规则很容易遵守。,简单的生活可以很幸福。
since,prep.,/sɪns/,从后；自…,from a time in the past; because,from,as,because,I have lived here ______ Monday.,"______ cities grew, villages lost people.",我从周一起住在这里。,自城市发展，乡村失去人口。
sport,n.,/spɔːt/,体育运动,a game needing physical skill,game,exercise,activity,Football is my favourite ______.,A team ______ teaches cooperation.,足球是我最爱的运动。,团队运动教合作。
structure,n.,/ˈstrʌkʧə/,结构,the way parts are arranged,form,frame,build,The ______ of the essay is clear.,Good ______ makes a city easy to use.,文章结构清晰。,好结构让城市好用。
subject,n.,/ˈsʌbʤɪkt/,科目,a topic studied at school,topic,lesson,course,My favourite ______ is art.,Every ______ builds a part of you.,我最爱的科目是美术。,每门科目塑造你的一部分。
team,n.,/tiːm/,队,a group working toward a goal,group,crew,side,We are a strong ______ at school.,A good ______ wins through trust.,我们在学校是个强队。,好团队靠信任取胜。
technology,n.,/tɛkˈnɒləʤi/,科技；工艺,tools and machines from science,tech,science tools,devices,______ changes how we learn.,______ can close the gap between schools.,科技改变我们的学习方式。,科技能缩小校际差距。
tourist attraction,n.,/ˈtʊərɪst/ /əˈtrækʃən/,旅游景点,a place visitors want to see,sight,landmark,highlight,The old tower is a famous ______.,A free ______ serves the whole city.,老塔是著名旅游景点。,免费景点服务整座城市。
understand,v.,/ˌʌndəˈstænd/,懂；理解,to know the meaning of,get,grasp,see,"I ______ the question now, thanks.","To ______ others, we must listen.",我现在明白这个问题了，谢谢。,要理解他人，我们必须倾听。
village,n.,/ˈvɪlɪʤ/,村庄,a very small town,small town,hamlet,community,He grew up in a quiet ______.,A ______ keeps old ways alive.,他在安静的村庄长大。,村庄保留古老的方式。
waiter,n.,/ˈweɪtə/,男服务员,a man who serves food in a cafe,server,attendant,staff,The ______ brought the menu.,A kind ______ makes a meal pleasant.,服务员拿来菜单。,友善的服务员让用餐愉快。
wide,adj.,/waɪd/,宽的；宽阔的,measuring much from side to side,broad,large,spacious,The road is very ______ and safe.,A ______ path invites people to walk.,路很宽也很安全。,宽路吸引人们步行。
according to,phr.,/əˈkɔːdɪŋ/ /tuː/,据（...所说）,as said or written by,as stated by,per,based on,"______ the news, it will rain.","______ the report, reading scores rose.",据新闻说，会下雨。,据报告，阅读分数上升了。
agree,v.,/əˈɡriː/,同意,to have the same view,concur,accept,say yes,I ______ with your good idea.,Most people ______ on the need for parks.,我同意你的好主意。,多数人同意需要公园。
air,n.,/eə/,空气,the gas we breathe,wind,atmosphere,sky,The ______ is fresh by the sea.,Clean ______ is a right of every citizen.,海边空气清新。,清洁空气是每位市民的权利。
break,n.,/breɪk/,休息,a short pause from work,pause,rest,split,We had a ______ at noon.,A short ______ helps students refocus.,我们中午休息了一下。,短休息帮助学生重新专注。
clear,adj.,/klɪə/,晴朗的；清晰的,easy to see or understand,plain,obvious,bright,The water is ______ and clean.,A ______ rule is fair to everyone.,水清澈干净。,清晰规则对人人公平。
clearly,adv.,/ˈklɪəli/,清楚地,in a way easy to see or hear,plainly,obviously,well,She spoke ______ to the class.,A good chart shows data ______.,她对着全班讲得很清楚。,好图表清晰展示数据。
common,adj.,/ˈkɒmən/,常见的；普通的,happening often; shared,usual,frequent,shared,This is a ______ mistake for beginners.,A ______ goal unites a community.,这是初学者的常见错误。,共同目标团结社区。
continue,v.,/kənˈtɪnjuː/,持续；继续存在,to keep going without stop,go on,proceed,carry on,Please ______ reading the text.,Cities must ______ to cut waste.,请继续读课文。,城市必须继续减少浪费。
courage,n.,/ˈkʌrɪʤ/,勇气；胆量,bravery to face fear,bravery,nerve,boldness,It takes ______ to speak up.,It takes ______ to try something new.,发声需要勇气。,尝试新事物需要勇气。
deep,adj.,/diːp/,深的,far down; strong in feeling,profound,low,strong,The lake is very ______ and cold.,A ______ talk builds real trust.,湖很深很冷。,深入的谈话建立真正的信任。
disagree,v.,/ˌdɪsəˈɡriː/,不同意,to have a different view,differ,object,not agree,"I ______ with that point, sorry.",Friends may ______ and still be close.,我不同意那一点，抱歉。,朋友可以意见不同却仍亲密。
disagree with,phr.,/ˌdɪsəˈɡriː/ /wɪð/,不同意；持不同意见,to hold a different view from,differ from,object to,not side with,I ______ his plan to cut parks.,"A few may ______ the new rule, and that is fine.",我不同意他削减公园的计划。,少数人可能不同意新规，这没关系。
discount,n.,/ˈdɪskaʊnt/,折扣,a lower price than usual,reduction,cut,saving,We got a ten percent ______.,A student ______ helps poor families.,我们打了九折。,学生折扣帮助贫困家庭。
do exercise,phr.,/duː/ /ˈɛksəsaɪz/,锻炼；运动,to move the body for health,work out,train,get active,I ______ every morning at home.,Children should ______ to grow strong.,我每天早晨在家锻炼。,孩子应锻炼以强壮成长。
due to,phr.,/djuː/ /tuː/,由于，因为,caused by something,because of,owing to,from,The match was off ______ the rain.,"______ climate change, seas are rising.",比赛因雨取消。,由于气候变化，海平面上升。
exercise,n.,/ˈɛksəsaɪz/,锻炼,activity that keeps you healthy,workout,training,movement,______ keeps your body and mind fit.,Daily ______ prevents many illnesses.,锻炼让身心健康。,每日锻炼预防许多疾病。
final,adj.,/ˈfaɪnəl/,最后的,last; deciding everything,last,ending,ultimate,This is the ______ test of the term.,The ______ score decides the winner.,这是学期最后一次测验。,最终比分决定胜者。
fit,adj.,/fɪt/,健壮的；健康的,healthy and strong,healthy,strong,in shape,He is very ______ for his age.,A ______ child enjoys outdoor play.,他这个年纪很健壮。,健壮的孩子享受户外玩耍。
free,adj.,/friː/,免费的,costing nothing; not busy,no cost,at no charge,unoccupied,The museum is ______ on Sundays.,A ______ park belongs to everyone.,博物馆周日免费。,免费的公园属于所有人。
fresh,adj.,/frɛʃ/,新鲜的,"new, clean and not old",new,clean,recent,Eat ______ fruit every day.,______ air in a city needs green space.,每天要吃新鲜水果。,城市的新鲜空气需要绿地。
fruit,n.,/fruːt/,水果,sweet food that grows on plants,produce,food,crop,Apples are my favourite ______.,Local ______ cuts transport and waste.,苹果是我最爱的水果。,本地水果减少运输与浪费。
funny,adj.,/ˈfʌni/,滑稽的；好笑的,causing laughter,humorous,amusing,comic,The film was really ______ and light.,A ______ story helps a class relax.,电影真的好笑又轻松。,好笑的故事帮助班级放松。
go for a walk,phr.,/ɡəʊ/ /fɔːr/ /ə/ /wɔːk/,去散步,to walk for pleasure,take a walk,stroll,walk,We ______ after dinner together.,Families that ______ stay close.,我们饭后一起散步。,一起散步的家庭关系亲密。
health,n.,/hɛlθ/,健康,the state of the body and mind,well-being,fitness,condition,Good ______ needs sleep and food.,Public ______ is a duty of the city.,健康需要睡眠与食物。,公共健康是城市的职责。
healthy,adj.,/ˈhɛlθi/,健康的,strong and not often ill,fit,well,strong,A ______ child plays outside daily.,A ______ city plans for clean air.,健康的孩子每天在户外玩耍。,健康的城市规划清洁空气。
idea,n.,/aɪˈdɪə/,想法,a thought or plan in the mind,thought,plan,notion,That is a good ______ for the trip.,A small ______ can change a school.,那是个旅行的好主意。,一个小主意能改变学校。
illness,n.,/ˈɪlnəs/,（某种）病,a state of being sick,sickness,disease,poor health,The ______ kept him home from school.,Clean water prevents many ______.,生病让他待在家里没上学。,清洁水预防许多疾病。
in the present,phr.,/ɪn/ /ðə/ /ˈprɛzənt/,现在,now; at this time,now,at present,today,"______, we live in a busy city.","______, cities grow faster than ever.",如今我们住在一座繁忙的城市。,如今城市发展快过以往。
instead,adv.,/ɪnˈstɛd/,代替；顶替,in place of; rather,rather,as a replacement,alternatively,We walked ______ of taking the bus.,He read a book ______ of watching TV.,我们步行而不是乘公交。,他看书而不是看电视。
instead of,phr.,/ɪnˈstɛd/ /ɒv/,代替；作为替换,in place of something,rather than,in place of,not,Read a book ______ playing games.,Cook at home ______ buying takeaway.,看书而不是玩游戏。,在家做饭而不是买外卖。
lamp,n.,/læmp/,灯,a thing that gives light,light,lantern,bulb,Turn on the ______ by your bed.,A warm ______ helps a child read at night.,打开你床边的灯。,暖灯帮助孩子夜间阅读。
lifestyle,n.,/ˈlaɪfstaɪl/,生活方式,the way a person lives,way of life,living,habits,He has a healthy ______ and diet.,A city's ______ affects its health costs.,他生活健康、饮食规律。,城市的生活方式影响医疗开支。
make a difference,phr.,/meɪk/ /ə/ /ˈdɪfərəns/,有作用；有影响,to cause a real change,change things,matter,have an effect,One small act can ______.,One small act can ______.,一个小举动能带来改变。,一个小举动能带来改变。
medicine,n.,/ˈmɛdsən/,药物,a drug that treats illness,drug,cure,treatment,Take the ______ after meals.,Clean water is the best ______ for many ills.,饭后服药。,清洁水是对许多疾病最好的药。
mobile phone,n.,/ˈməʊbaɪl/ /fəʊn/,移动电话；手机,a phone you can carry,cellphone,handset,smartphone,I left my ______ at home today.,A ______ lets students learn anywhere.,今天我把手机落在家了。,手机让学生随处学习。
modern,adj.,/ˈmɒdən/,现代的,new and of today,new,current,recent,The ______ library is bright and open.,A ______ city plans for people first.,现代图书馆明亮开阔。,现代城市以人为本规划。
mood,n.,/muːd/,情绪；心情,the feeling you are in,feeling,temper,state,He is in a good ______ today.,A calm ______ helps a family get along.,他今天心情好。,平静的心情帮助家庭和睦。
negative,adj.,/ˈnɛɡətɪv/,负面的,not positive; bad,bad,poor,unhelpful,Try not to think ______ thoughts.,A ______ view can stop you from trying.,尽量别想消极的事。,消极看法会让你不敢尝试。
obligation,n.,/ˌɒblɪˈɡeɪʃən/,义务；责任,something you must do,duty,responsibility,must,It is our ______ to help others.,Paying tax is a citizen's ______.,帮助他人是我们的义务。,纳税是公民的义务。
painting,n.,/ˈpeɪntɪŋ/,绘画,a picture made with paint,picture,art,canvas,The ______ on the wall is mine.,A school ______ shows a child's view.,墙上的画是我的。,学校的画展现孩子的视角。
science,n.,/ˈsaɪəns/,科学,the study of nature and facts,physics,study of nature,knowledge,We love ______ because it explains the world.,Good ______ needs careful testing.,我们爱科学，因为它解释世界。,好科学需要细致验证。
sleep,n.,/sliːp/,睡眠,rest with eyes closed,rest,doze,nap,I need eight hours of ______ each night.,Enough ______ helps a child grow.,我每晚需要八小时睡眠。,充足睡眠帮助孩子成长。
special,adj.,/ˈspɛʃəl/,特殊的；特别的,not ordinary; important,unusual,particular,unique,Today is a ______ day for us.,A ______ needs room makes a child feel loved.,今天对我们是特别的一天。,特别的房间让孩子感到被爱。
straight,adj.,/streɪt/,直接；立即,not curved; directly,direct,level,upright,Go ______ along this road to school.,A ______ road is safer for young riders.,沿这条路直走到学校。,直路对年轻骑行者更安全。
strategy,n.,/ˈstrætəʤi/,策略,a plan to win or succeed,plan,method,approach,We need a good ______ to learn words.,A clear ______ helps a city cut waste.,我们需要记单词的好策略。,清晰策略帮助城市减少浪费。
style,n.,/staɪl/,风格,a way of doing or looking,way,manner,fashion,I like her writing ______ a lot.,A city's ______ shows its character.,我很喜欢她的写作风格。,城市的风格展现其个性。
tired,adj.,/taɪəd/,累的,needing rest or sleep,weary,sleepy,worn,I am ______ after the long school day.,A ______ student learns less well.,long school day 后我很累。,疲惫的学生学得较差。
turn off,phr.,/tɜːn/ /ɒf/,关掉,to stop a machine working,switch off,shut off,power down,______ the light before you sleep.,We should ______ screens before bed.,睡前关灯。,睡前应关掉屏幕。
twice,adv.,/twaɪs/,两次,two times,two times,double,again,I go there ______ a week.,Reading ______ is better than once.,我一周去两次。,读两遍好过一遍。
walk,v.,/wɔːk/,散步,to move on your feet,stroll,step,go on foot,We ______ to school every day.,Children who ______ to school stay healthy and fit.,我们每天走路去上学。,走路上学让孩子健康。
wear,v.,/weə/,穿戴,to have clothes on your body,put on,have on,dress in,I ______ a coat when it is cold.,A school uniform teaches children to ______ one.,冷时我穿外套。,校服教孩子穿着统一。
whenever,conj.,/wɛˈnɛvə/,在任何时候,at any time that,every time,any time,when,"______ you like, we can start.",Call me ______ you need help.,你随时想开始都行。,需要帮助就随时打电话给我。
young,adj.,/jʌŋ/,年轻的,not old; in early life,youthful,little,junior,The ______ students played outside.,A ______ city needs good schools.,年幼的学生在外面玩。,年轻的城市需要好学校。
a range of,phr.,/ə/ /reɪnʤ/ /ɒv/,一系列的,many different kinds,many kinds of,various,a variety of,We sell ______ books for all ages.,A city offers ______ jobs to its people.,我们卖适合各年龄的多种书。,城市为居民提供各种各样的岗位。
absolutely,adv.,/ˈæbsəluːtli/,极其,completely; totally,completely,totally,quite,I am ______ sure about the plan.,Clean air is ______ needed in big cities.,我完全确定这个计划。,大城市绝对需要清洁空气。
accept,v.,/əkˈsɛpt/,接受（建议、邀请等）,to take something offered,take,receive,agree to,Please ______ my help with the bags.,A school should ______ every child.,请接受我帮你拿包的帮助。,学校应接纳每个孩子。
acceptable,adj.,/əkˈsɛptəbəl/,可以接受的,good enough; allowed,fine,okay,permissible,Your work is ______ this time.,An ______ level of noise keeps a home calm.,你这次作业合格了。,可接受的噪音水平让家庭平静。
additionally,adv.,/əˈdɪʃənəli/,此外,also; in addition,also,besides,furthermore,"______, we need more time.","The park is free; ______, it is open all day.",此外，我们还需要更多时间。,公园免费；此外全天开放。
administration,n.,/ədˌmɪnɪˈstreɪʃən/,行政,the people who run a place,management,office,leaders,The school ______ is kind and fair.,Good ______ makes a school run well.,学校管理层友善公平。,好的管理让学校运转良好。
appointment,n.,/əˈpɔɪntmənt/,预约,a planned meeting with someone,meeting,date,booking,I have a doctor's ______ at three.,Keep your ______ to show respect.,我三点有医生预约。,守约以示尊重。
Arabic,adj.,/ˈærəbɪk/,阿拉伯语,from Arabia; its language,from Arabia,Arab,Middle Eastern,He studies ______ at university.,______ script is written from right to left.,他在大学学阿拉伯语。,阿拉伯文从右向左书写。
at first,phr.,/æt/ /fɜːst/,起初；起先,in the beginning,initially,at the start,in the beginning,"______, it was hard to learn.","______, a new city feels strange.",起初学起来很难。,起初新城市让人觉得陌生。
brain,n.,/breɪn/,脑,the part of the body that thinks,mind,head,thinker,We use our ______ to solve problems.,A good night helps the ______ rest.,我们用脑解决问题。,好睡眠让大脑休息。
carry,v.,/ˈkæri/,搬；扛；背,to hold and move something,take,bring,lift,Can you ______ this heavy bag?,Parents ______ both work and family.,你能拿这个重包吗？,父母兼顾工作与家庭。
collocation,n.,/ˌkɒləʊˈkeɪʃən/,词组,words often used together,word pair,phrase,combination,Learn the ______ 'make a mistake'.,A strong ______ skill aids fluent speech.,学搭配“make a mistake”。,扎实的搭配能力助流利口语。
communicate,v.,/kəˈmjuːnɪkeɪt/,沟通,to share ideas with others,talk,share,express,We ______ by email every day.,Families should ______ openly at home.,我们每天用邮件沟通。,家庭应在家 open 沟通。
conclusion,n.,/kənˈkluːʒən/,结论,the final thought at the end,end,result,summary,"In ______, reading helps us grow.","______, cities need more green.",总之，阅读助我们成长。,总之，城市需要更多绿地。
continuously,adv.,/kənˈtɪnjuəsli/,持续地,without stopping,constantly,always,non-stop,It rained ______ from morning to night.,Traffic flows ______ in big cities.,从早到晚雨下个不停。,大城市车流不息。
culture,n.,/ˈkʌlʧə/,文化；文明,the way a group of people lives,tradition,way of life,customs,Food shows a country's ______.,A city's ______ grows from its people.,食物展示一个国家的文化。,城市文化自人民而生。
cycle,v.,/ˈsaɪkəl/,骑自行车,to ride a bicycle,bike,ride,pedal,I ______ to work in summer.,More people ______ where paths are safe.,夏天我骑车上班。,路安全时更多人骑车。
disadvantage,n.,/ˌdɪsədˈvɑːntɪʤ/,劣势,something bad about a thing,downside,weakness,drawback,A ______ is the high cost.,A ______ of cities is noisy traffic.,一个缺点是成本高。,城市的缺点之一是嘈杂交通。
effort,n.,/ˈɛfət/,努力,hard work put into something,work,try,labour,It takes ______ to learn a language.,Small daily ______ adds up to success.,学语言需要努力。,每日小小的努力积累成成功。
extra,adj.,/ˈɛkstrə/,额外的,more than is usual,additional,spare,more,We need an ______ chair for the guest.,An ______ hour of sleep helps teens.,我们需要一把额外的椅子给客人。,多一小时睡眠帮助青少年。
formal,adj.,/ˈfɔːməl/,正式的,very correct in style or dress,official,serious,proper,Wear ______ clothes to the interview.,A ______ letter shows respect.,面试穿正式衣服。,正式信件显尊重。
furthermore,adv.,/ˌfɜːðəˈmɔː/,此外,also; in addition to that,also,besides,moreover,"______, it is cheap and healthy.","The plan is fair; ______, it is cheap.",此外，它便宜又健康。,计划公平；此外还便宜。
general,adj.,/ˈʤɛnərəl/,将军n. 总体的一般的 adj.,about most cases,usual,common,overall,"In ______, boys like ball games.","______, cities are warmer than villages.",一般来说男孩喜欢球类运动。,一般来说城市比乡村暖。
German,adj.,/ˈʤɜːmən/,德语,from or of Germany,from Germany,of Germany,European,She speaks ______ with her grandparents.,______ engineering is known worldwide.,她和祖父母讲德语。,德国工程举世闻名。
go sightseeing,phr.,/ɡəʊ/ /ˈsaɪtˌsiːɪŋ/,去观光,to visit places of interest,see the sights,tour,visit,We ______ in the old town.,Families ______ to learn local history.,我们在老城观光。,家庭观光以了解本地历史。
hundreds of,phr.,/ˈhʌndrədz/ /ɒv/,数以百计,a very large number,many,countless,numerous,______ people came to the park.,______ students took the test.,成百上千的人来到公园。,成百学生参加了测验。
Internet,n.,/ˈɪntənɛt/,（国际）互联网,the world's network of computers,web,net,online,We use the ______ for our study.,The ______ opens schools to the world.,我们用互联网学习。,互联网把学校向世界敞开。
introduce,v.,/ˌɪntrəˈdjuːs/,使次了解；使尝试,to present someone or something,present,bring in,show,Let me ______ my new friend to you.,A good teacher ______ hard ideas with ease.,让我把你介绍给我的新朋友。,好老师轻松引入难懂概念。
lazy,adj.,/ˈleɪzi/,懒惰的,not wanting to work or move,idle,slow,inactive,Don't be ______ on your weekend.,"A ______ day once a week is fine, not always.",周末别懒。,每周懒一天可以，但不能总是。
luck,n.,/lʌk/,幸运,good things that happen by chance,fortune,chance,fate,Good ______ helped him win the game.,Hard work beats blind ______ in the end.,好运帮他赢了比赛。,努力最终胜盲目的运气。
lucky,adj.,/ˈlʌki/,幸运的,having good luck,fortunate,blessed,happy,You are ______ to have this school.,A ______ child still must study hard.,你有这所学校很幸运。,幸运的孩子仍须努力学。
Mandarin,n.,/ˈmændərɪn/,普通话,the main language spoken in China,Chinese,Putonghua,standard Chinese,She speaks ______ fluently and clearly.,______ links many Chinese regions.,她普通话流利清晰。,普通话连接中国许多地区。
motivated,adj.,/ˈməʊtɪveɪtɪd/,有积极性的,eager to do well,eager,driven,keen,A ______ student learns faster.,A ______ team reaches its goal.,有动力的学生学得更快。,有动力的团队达成目标。
multilingual,adj.,/ˌmʌltɪˈlɪŋɡwəl/,使用多种语言的,able to use many languages,many-tongued,polyglot,multi-language,She is ______ in three tongues.,A ______ city welcomes many cultures.,她通三种语言。,多语城市欢迎多种文化。
newspaper,n.,/ˈnjuːzˌpeɪpə/,报纸,a daily printed source of news,paper,press,journal,I read the ______ at breakfast.,A free ______ informs every citizen.,早餐时我读报纸。,免费报纸告知每位市民。
no more,phr.,/nəʊ/ /mɔː/,不再；再也不,not any longer,not any more,no longer,stop,"There is ______ cake left, sorry.","There is ______ cake left, sorry.",没有蛋糕剩下了，抱歉。,没有蛋糕剩下了，抱歉。
notebook,n.,/ˈnəʊtbʊk/,笔记本,a book for writing notes,exercise book,jotter,pad,I write new words in my ______.,A small ______ helps study on the bus.,我把生词写在笔记本。,小笔记本帮助在公交上学习。
on the Internet,phr.,/ɒn/ /ði/ /ˈɪntənɛt/,在互联网上,using the world web,online,on the web,on the net,We found the answer ______.,We found the answer ______.,我们在网上找到了答案。,我们在互联网上找到了答案。
phrase,n.,/freɪz/,短语,a small group of words,expression,saying,group,Learn this useful ______ by heart.,A fixed ______ aids quick speaking.,背下这个有用的短语。,固定短语助快速口语。
population,n.,/ˌpɒpjəˈleɪʃən/,人口,all the people in a place,people,citizens,inhabitants,The ______ of the city is large.,A city's ______ decides its transport needs.,这座城市人口众多。,城市人口决定其交通需求。
present continuous,n.,/ˈprɛzənt/ /kənˈtɪnjuəs/,现在进行时,a verb form for actions now,continuous,-ing form,present progressive,We use the ______ for what is happening.,We use the ______ for what is happening.,我们用现在进行时表示正在发生。,我们用现在进行时表示正在发生。
regularly,adv.,/ˈrɛɡjələli/,经常地，定期地,often and on time,often,frequently,routinely,He ______ practises the piano at home.,A child who reads ______ learns more.,他定期在家练钢琴。,定期阅读的孩子学得更多。
remind,v.,/rɪˈmaɪnd/,提醒；使想起,to help someone remember,prompt,tell,nudge,Please ______ me of the time.,A note can ______ you of homework.,请提醒我时间。,便条能提醒你作业。
shy,adj.,/ʃaɪ/,羞怯的；腼腆的,nervous with new people,timid,quiet,reserved,He is ______ in big groups of people.,A ______ child needs gentle teachers.,他在大群体里害羞。,害羞的孩子需要温和的老师。
specify,v.,/ˈspɛsɪfaɪ/,明确指出,to state exactly,state,detail,name,Please ______ your size and colour.,Forms should ______ what is needed.,请说明你的尺寸和颜色。,表格应写明所需。
speech,n.,/spiːʧ/,演说；发言,a talk given to a group,talk,address,lecture,He gave a short ______ in class.,A clear ______ builds a leader's trust.,他在课上做了简短发言。,清晰的发言建立领导者信任。
successful,adj.,/səkˈsɛsfəl/,成功的,doing well; reaching a goal,winning,good,prospering,She is a ______ student and friend.,A ______ city plans for its people.,她是成功的学生和朋友。,成功的城市为人民规划。
summarise,v.,/ˈsʌməraɪz/,总结,to give the main points,sum up,condense,brief,Can you ______ the story in one line?,Learn to ______ a long text fast.,你能用一句话概括故事吗？,学会快速概括长文。
Swahili,n.,/swɑːˈhiːli/,斯瓦西里语,a language widely spoken in East Africa,Kiswahili,East African language,Bantu,They speak ______ in Kenya and Tanzania.,______ links many East African nations.,他们在肯尼亚和坦桑尼亚说斯瓦希里语。,斯瓦希里语连接东非多国。
take care of,phr.,/teɪk/ /keər/ /ɒv/,照顾；照料,to look after a person or thing,care for,look after,mind,I ______ my little brother after school.,Families that ______ each other grow closer.,放学后我照顾弟弟。,互相照顾的家庭更亲密。
to sum up,phr.,/tuː/ /sʌm/ /ʌp/,总之,to give the main points,in summary,in conclusion,briefly,"______, reading helps us in every way.","______, cities need both roads and parks.",总之，阅读在各方面都帮助我们。,总之，城市既需要路也需要公园。
upset,adj.,/ʌpˈsɛt/,沮丧的,sad or worried about something,sad,worried,unhappy,She was ______ about the low score.,An ______ child needs a calm adult.,她为低分感到沮丧。,沮丧的孩子需要平静的成人。
video,n.,/ˈvɪdiəʊ/,视频,a recording that shows moving pictures,film,clip,recording,We watched a short ______ about space.,A short ______ can teach a hard idea.,我们看了一段关于太空的短视频。,短视频能教难懂的概念。
west,n.,/wɛst/,西；西方,the direction where the sun sets,western,leftward,occident,The sun sets in the ______ each day.,Wind from the ______ brings mild air.,太阳每天从西边落下。,西风带来温和空气。
actually,adv.,/ˈækʧuəli/,事实上,really; in fact,really,in fact,truly,"I am ______ from the north, not here.",Cities are ______ cooler than the land around.,我其实来自北方，不是这里。,城市其实比周边土地更凉。
aeroplane,n.,/ˈeərəpleɪn/,飞机,a machine that flies in the sky,plane,aircraft,jet,We flew by ______ to Paris.,A fast ______ connects far cities in hours.,我们乘飞机去巴黎。,快速的飞机在数小时内连接远城。
anybody,pron.,/ˈɛniˌbɒdi/,任何人,any person at all,anyone,someone,a person,______ can learn to cook a meal.,______ can join the free class.,任何人都能学会做饭。,任何人都能加入免费班。
attachment,n.,/əˈtæʧmənt/,附件,a file sent with an email,file,enclosure,appendix,I sent the photo as an ______.,A clear ______ helps others read your work.,我把照片作为附件发送。,清晰的附件帮助他人读你的作业。
axis,n.,/ˈæksɪs/,轴,an imaginary line through the middle,line,spindle,pivot,The earth turns on its ______ once a day.,The earth turns on its ______ once a day.,地球绕地轴每天转一圈。,地球绕地轴每天转一圈。
backup,n.,/ˈbækʌp/,备份,a copy kept safe,copy,spare,reserve,Keep a ______ of your school work.,A daily ______ prevents lost files.,给学业文件留个备份。,每日备份防止文件丢失。
bar,n.,/bɑː/,（长方形）条,a place where people drink,pub,cafe,joint,We met at the ______ for a drink.,A quiet ______ is a good place to talk.,我们在酒吧碰面喝一杯。,安静的酒吧是聊天的好地方。
battery,n.,/ˈbætəri/,电池,a thing that gives power to devices,cell,power pack,accumulator,The ______ is dead in the remote.,A dead ______ stops a phone from working.,遥控器里的电池没电了。,没电的电池让手机无法工作。
breathe,v.,/briːð/,呼吸,to take air in and out,respire,inhale and exhale,pant,______ deeply before you speak.,Children should ______ fresh air each day.,说话前深呼吸。,孩子每天应呼吸新鲜空气。
case,n.,/keɪs/,外壳,a particular situation or example,situation,matter,instance,"In this ______, we go home early.","In every ______, safety comes first.",这种情况我们早点回家。,任何情况下安全第一。
certainly,adv.,/ˈsɜːtənli/,无疑；肯定；当然,without doubt; surely,surely,definitely,sure,I will ______ help you with the bags.,A good plan will ______ save time.,我一定帮你拿包。,好计划一定省时。
chart,n.,/ʧɑːt/,图表,a picture that shows data,graph,table,diagram,The ______ shows the test results.,A clear ______ helps a class see progress.,图表显示测验结果。,清晰图表帮班级看到进步。
client,n.,/ˈklaɪənt/,客户机,a person who uses a service,customer,user,patron,The ______ waited for the lawyer.,A happy ______ returns to the same shop.,客户等着律师。,满意的客户回到同一家店。
communication,n.,/kəˌmjuːnɪˈkeɪʃən/,交流；交际,the sharing of information,contact,talk,exchange,Good ______ builds trust at home.,Good ______ builds trust at home.,良好沟通在家中建立信任。,良好沟通在家中建立信任。
crash,v.,/kræʃ/,碰撞；相撞,to hit hard and break,smash,collide,wreck,The car ______ into the wall in the rain.,A car may ______ if the road is wet.,车在雨中撞上墙。,路面湿时车可能相撞。
create,v.,/kriˈeɪt/,创造；创作,to make something new,make,build,invent,We ______ a poster for the class.,Art helps children ______ new ideas.,我们为班级做了一张海报。,艺术帮孩子创造新想法。
dangerous,adj.,/ˈdeɪnʤərəs/,危险的,able to cause harm,unsafe,risky,perilous,The road is ______ at night for kids.,A ______ crossing needs a traffic light.,这条路夜间对孩子危险。,危险的路口需要红绿灯。
